,name,genre,parent_platform,platform,publisher,developer,release_date,rating,global_sales,NA_sales,EU_sales,JP_sales,other_sales,generation,players_category,players,online,critic_positive,critic_neutral,critic_negative,metascore,num_critic_reviews,user_positive,user_neutral,user_negative,user_score,num_users_reviews
0,Wii Sports,Sports,Nintendo,WII,Nintendo,Nintendo EAD,2006-11-19,E,82.86,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,31,20,0,76,51,97,37,2,8.0,136
1,Mario Kart Wii,Racing,Nintendo,WII,Nintendo,Nintendo EAD,2008-04-27,E,37.14,,,,,7th Gen,5 to 12,Up to 12 ,Not Specified,65,7,1,82,73,217,55,18,8.4,290
2,PlayerUnknown's Battlegrounds,Shooter,PC,PC,PUBG Corporation,PUBG Corporation,2017-12-20,T,36.6,,,,,PC,64+,Up to more than 64 ,Not Specified,41,5,0,86,46,90,63,172,4.6,325
3,Wii Sports Resort,Sports,Nintendo,WII,Nintendo,Nintendo EAD,2009-07-26,E,33.09,,,,,7th Gen,2 to 4,1-4 ,Not Specified,60,13,0,80,73,57,13,4,8.1,74
4,New Super Mario Bros.,Platform,Nintendo,DS,Nintendo,Nintendo EAD,2006-05-15,E,30.01,11.38,9.23,6.5,2.9,7th Gen,Not Specified,No Online Multiplayer,Not Online,62,3,0,89,65,128,24,2,8.5,154
5,New Super Mario Bros. Wii,Platform,Nintendo,WII,Nintendo,Nintendo EAD,2009-11-15,E,30.22,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,75,5,0,87,80,119,33,12,8.3,164
6,Minecraft,Misc,PC,PC,Mojang,Mojang AB,2009-05-10,,30.01,,,,,PC,5 to 12,Up to 10 ,Not Specified,33,0,0,93,33,872,207,202,7.6,1281
7,Wii Play,Misc,Nintendo,WII,Nintendo,Nintendo EAD,2007-02-12,E,28.02,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,2,31,8,58,41,31,26,15,6.5,72
8,Kinect Adventures!,Party,Xbox,X360,Microsoft Game Studios,Good Science Studio,2010-11-04,E,21.82,14.97,4.94,0.24,1.67,7th Gen,,,,5,35,5,61,45,12,14,4,6.3,30
9,Mario Kart DS,Racing,Nintendo,DS,Nintendo,Nintendo EAD,2005-11-14,E,23.42,9.81,7.57,4.13,1.92,7th Gen,Not Specified,No Online Multiplayer,Not Online,63,1,0,91,64,160,18,10,8.7,188
